titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,box_office_total,note_presse,note_spectateurs,nombre_article,recompenses,description
Bernadette,04/10/2023,,,Léa Domenach, Warner Bros. France ,"Catherine Deneuve,Denis Podalydès,Michel Vuillermoz",,,Français,Long-métrage,2023,-,,,,,,"Quand elle arrive à l’Elysée, Bernadette Chirac s’attend à obtenir enfin la place qu’elle mérite, elle qui a toujours œuvré dans l’ombre de son mari pour qu’il devienne président. Mise de côté car jugée trop ringarde, Bernadette décide alors de prendre sa revanche en devenant une figure médiatique incontournable."
La Nonne 2,13/09/2023,,,Michael Chaves, Warner Bros. France ,"Bonnie Aarons,Taissa Farmiga,Storm Reid",The Nun II,,Anglais,Long-métrage,2023,-,,,,,,"Le mal n’a jamais été aussi proche : Valak, la nonne démoniaque de Conjuring revient… Dans le sud de la France."
Le Consentement,11/10/2023,Biopic,118,Vanessa Filho, Pan Distribution ,"Jean-Paul Rouve,Kim Higelin,Laetitia Casta",,"France,Belgique",Français,Long-métrage,2023,"3,7 M€",,,,,,"Vanessa Springora raconte comment elle s'est retrouvée sous l'emprise d'un écrivain célèbre. En 1986, elle avait 13 ans; lui, presque 50. Elle explique comment elle a été victime d'une triple prédation : sexuelle, littéraire et psychique. Mais au-delà de son histoire individuelle, elle questionne aussi les dérives d'une époque, et la complaisance d'un milieu aveuglé par le talent et la célébrité."
Le Comte de Monte-Cristo,11/12/2024,,,Alexandre De La Patellière, Pathé ,"Pierre Niney,Bastien Bouillon,Anaïs Demoustier",,,Français,Long-métrage,2024,-,,,,,,"Nouvelle adaptation du Comte de Monte-Cristo. ""Le film suivra le point de vue d’Edmond Dantès, le premier super-héros français, qui passe de la lumière à l’ombre, et devient l’incarnation du vengeur masqué"
Spider-Man 4,10/07/2024,Fantastique,, Sony Pictures Releasing France , Sony Pictures Releasing France ,Tom Holland,,,Anglais,Long-métrage,2025,-,,,,,,Quatrième volet des aventures de Spider-man (Tom Holland).
Kraven The Hunter,28/08/2024,,,J.C. Chandor, Sony Pictures Releasing France ,"Aaron Taylor-Johnson,Russell Crowe,Fred Hechinger",,,Anglais,Long-métrage,2024,-,,,,,,Kraven the Hunter raconte la genèse sanglante de l'un des super-vilains les plus iconiques de l'univers Marvel avant sa fameuse vendetta contre Spider-Man.
We have a dream,27/09/2023,,,Pascal Plisson, Jour2fête ,,,,Anglais,Long-métrage,2023,-,,,,,,"Qui a dit que vivre avec un handicap signifiait renoncer à ses plus grands rêves ? A travers le monde, Pascal Plisson est allé à la rencontre de Xavier, Charles, Antonio, Maud, Nirmala et Khendo, des enfants extraordinaires qui vont prouver que l’amour, l’éducation inclusive, l'humour et le courage peuvent déplacer des montagnes, et que le destin est parfois plein de surprises."
Bob Marley: One Love,10/01/2024,Drame,,Reinaldo Marcus Green, Paramount Pictures France ,"Kingsley Ben-Adir,Lashana Lynch,Michael Gandolfini",,,Anglais,Long-métrage,2024,-,,,,,,Bob Marley: One Love célèbre la vie et la musique d'une icône qui a inspiré des générations à travers son message d'amour et d'unité.
Les As de la jungle 2 - Opération tour du monde,16/08/2023,"Aventure,Comédie,Famille",89,Laurent Bru, SND ,"Philippe Bozo,Laurent Morteau,Pascal Casanova",,,Français,Long-métrage,2023,-,,,,,,"Qui appelle-t-on à la rescousse quand un mystérieux super-vilain recouvre la jungle d’une mousse rose qui explose au contact de l’eau ? Les As de la Jungle ! Moins d’un mois avant la saison des pluies, la course contre la montre est lancée. Du Pôle Nord à l’Extrême-Orient, traversant des montagnes, des déserts et des océans, nos héros vont devoir parcourir le monde à la recherche d’un antidote, loin de leur jungle favorite !"
Dune : Deuxième Partie,01/11/2023,,,Denis Villeneuve, Warner Bros. France ,"Timothée Chalamet, Zendaya,Rebecca Ferguson",Dune: Part Two,,Anglais,Long-métrage,2023,-,,,,13 Photos,,"Dans DUNE : DEUXIÈME PARTIE, Paul Atreides s’unit à Chani et aux Fremen pour mener la révolte contre ceux qui ont anéanti sa famille. Hanté par de sombres prémonitions, il se trouve confronté au plus grand des dilemmes : choisir entre l’amour de sa vie et le destin de l’univers."
Hors-saison,20/03/2024,,115,Stéphane Brizé, Gaumont Distribution ,"Guillaume Canet,Alba Rohrwacher,Sharif Andoura",,,Français,Long-métrage,2024,-,,,,,,"Mathieu habite Paris, Alice vit dans une petite cité balnéaire dans l’ouest de la France. Il caresse la cinquantaine, c’est un acteur connu. Elle a dépassé la quarantaine, elle est professeure de piano. Ils se sont aimés il y a une quinzaine d’années. Puis séparés. Depuis, le temps est passé, chacun a suivi sa route et les plaies se sont refermées peu à peu. Quand Mathieu vient diluer sa mélancolie dans les bains à remous d’une thalasso, il retrouve Alice par hasard."
Mise au vert,20/09/2023,,94,Yohann Charrin, KapFilms ,"Frederick Guillaud,Alexandra Holzhammer,Juliette Charrin",,,Français,Long-métrage,2023,-,,,,,,"Resserrer les liens familiaux, libérer ses ados de leur addiction numérique, renouer avec ses racines dans la région de son enfance; voilà pourquoi Régis décide d’emmener femme et enfants passer des vacances surprises dans le Vercors. Une vieille maison en ruine perdue dans la forêt. Pas d’eau, pas d’électricité, encore moins de réseaux ni de wifi. Rien ne va se passer comme prévu..."
Le Dernier Voyage du Demeter,23/08/2023,Thriller,119,André Øvredal, Universal Pictures International France ,"Corey Hawkins,Aisling Franciosi,David Dastmalchian",The Last Voyage Of The Demeter,,Anglais,Long-métrage,2023,-,,,,,,"Le récit terrifiant de la traversée du Demeter, un navire commercial à bord duquel est très discrètement embarquée, à destination de Londres depuis les Carpathes, une cargaison de caisses en bois non identifiée. À bord du navire maudit, d’étranges évènements ne tardent pas à frapper l’équipage qui va devoir tenter, durant cette funeste traversée, d’échapper à une étrange présence qui nuit après nuit va les traquer sans pitié. L’épave, véritable bateau fantôme qui finit par accoster sur les côtes anglaises n’est plus que l’ombre du Demeter, à bord duquel il n’y a plus âme qui vive."
Killers of the Flower Moon,18/10/2023,"Drame,Historique",206,Martin Scorsese, Paramount Pictures France ,"Leonardo DiCaprio,Robert De Niro,Jesse Plemons",,,Anglais,Long-métrage,2023,-,,,,,,
Les Fantômes d'Istanbul,23/08/2023,,90,Azra Deniz Okyay, La Vingt-Cinquième Heure ,"Dilayda Güneş,Beril Kayar,Nalan Kuruçim",Hayaletler,"Turquie,Qatar,France",Turc,Long-métrage,2020,-,,,,,3 nominations,"Istanbul, dans un futur proche. Alors que la ville est en proie à des troubles politiques et sous la menace d’un black out, Dilem, une jeune danseuse activiste, croise le destin d’une mère dont le fils est en prison, d’une artiste féministe et d’un trafiquant rusé au cœur d’un réseau de trafic de drogue et d’arnaques immobilières. Leurs histoires s'entremêlent, offrant un portrait saisissant de la Turquie contemporaine."
Alam,30/08/2023,,100,Firas Khoury, JHR Films ,"Mahmood Bakri,Sereen Khass,Mohammad Karaki",,"Palestine,France,Tunisie,Arabie Saoudite,Qatar",Arabe,Long-métrage,2022,-,,,,,,"Tamer est palestinien et vit en Israël. Il mène avec ses amis la vie d'un lycéen insouciant jusqu'à l'arrivée de la belle Maysaa. Pour lui plaire Tamer accepte de prendre part à une mystérieuse opération drapeau à la veille de la fête d'Indépendance israélienne, jour de deuil pour les Palestiniens."
Blanche-Neige,20/03/2024,,,Marc Webb, The Walt Disney Company France ,"Rachel Zegler,Gal Gadot,Andrew Burnap",Disney's Snow White,,Anglais,Long-métrage,2024,-,,,,,,"Une version en prises de vues réelles du classique Disney ""Blanche-Neige et les sept nains""."
Dogman,27/09/2023,,113,Luc Besson, EuropaCorp Distribution / Apollo Films ,"Caleb Landry Jones,Jojo T. Gibbs,Christopher Denham",,"France,U.S.A.",Anglais,Long-métrage,2023,-,,,,,,"L’incroyable histoire d’un enfant, meurtri par la vie, qui trouvera son salut grâce à l’amour que lui portent ses chiens"
Un coup de maître,09/08/2023,,95,Rémi Bezançon, Zinc Film ,"Vincent Macaigne,Bouli Lanners,Bastien Ughetto",,"France,Belgique",Français,Long-métrage,2023,-,,,,11 Photos,,"Propriétaire d’une galerie d’art, Arthur Forestier représente Renzo Nervi, un peintre en pleine crise existentielle. Les deux hommes sont amis depuis toujours et, même si tout les oppose, l’amour de l’art les réunit. En panne d’inspiration depuis plusieurs années, Renzo sombre peu à peu dans une radicalité qui le rend ingérable. Pour le sauver, Arthur élabore un plan audacieux qui finira par les dépasser… Jusqu’où peut-on aller par amitié ?"
Napoléon,22/11/2023,"Historique,Aventure,Guerre",158,Ridley Scott, Sony Pictures Releasing France ,"Joaquin Phoenix,Vanessa Kirby,Tahar Rahim",Napoleon,,Anglais,Long-métrage,2023,-,,,,,,"Fresque spectaculaire, Napoléon s'attache à l'ascension et à la chute de l'Empereur Napoléon Bonaparte. Le film retrace la conquête acharnée du pouvoir par Bonaparte à travers le prisme de ses rapports passionnels et tourmentés avec Joséphine, le grand amour de sa vie."
Les Promesses,09/08/2023,,114,Amanda Sthers, Madeleine films ,"Pierfrancesco Favino,Kelly Reilly,Jean Reno",Promises,"France,Italie",Anglais,Long-métrage,2021,-,,,,,,"La vie, en général, n’en finit pas de faire des promesses qu’elle prend plaisir, ensuite, à ne pas tenir. L’histoire d’amour inachevée entre Alexander et Laura …"
Sentinelle,,,,Hugo Benamozig,"
1 nomination
","Jonathan Cohen,Emmanuelle Bercot,Raphaël Quenard",,,Français,Long-métrage,2023,-,,,,15 Photos,,"François Sentinelle mène une double vie. Le jour, il est le flic le plus médiatique de l’Île de la Réunion, connu pour ses méthodes musclées et ses chemises à fleur, poursuivant les criminels à bord de son célèbre defender jaune. Mais hors des heures de service (et bien souvent pendant), Sentinelle a un autre métier : chanteur de charme. Tous les réunionnais ont dansé sur ""Le Kiki"", son tube de jeunesse aujourd'hui un peu embarrassant. Depuis quinze ans, il essaye de renouer avec le succès en préparant un nouvel album… sans succès. Mais entre la police et la musique, Sentinelle ne veut pas choisir. Alors qu’il reste affairé à ses concerts et la sortie de son album, une vague de crimes violents secoue l’île. Une figure de l’élite locale est kidnappée, une autre assassinée. Pour n’importe quel flic, ce serait l’affaire d’une vie. Mais Sentinelle, tout à sa musique, n’a pas vraiment la tête à enquêter."
Zone(s) de turbulence,09/08/2023,,97,Hafsteinn Gunnar Sigurðsson, Rezo Films ,"Timothy Spall,Emun Elliott,Ella Rumpf",Northern Comfort,"Islande,Grande-Bretagne,Allemagne",Anglais,Long-métrage,2023,-,,,,10 Photos,,"Sarah est une femme d’affaire basée à Londres qui souffre d’une peur incontrôlable de l’avion. Pour sauver sa nouvelle relation amoureuse, elle doit surmonter sa phobie et apprendre à lâcher prise – quitte à endurer un vol inattendu et follement imprévisible vers l’Islande…"
La Guerre des Dieux,23/08/2023,"Action,Fantastique",127,Ji Zhao, KMBO ,Kai Wang,Xin shen bang: Yang Jian,,Chinois,Long-métrage,2022,-,,,,14 Photos,,"Autrefois considéré comme un dieu puissant, Yang Jian a été réduit à la condition d’un tueur à gages déchu. Sa vie bascule le jour où une femme énigmatique lui propose une mission qui le force à reprendre du service. Il doit à nouveau faire face à son passé pour combattre ses anciens démons. La lutte entre Yang Jian et les créatures mystiques sera sans merci, au risque de perturber l’équilibre de leurs mondes. Une course contre la montre pour sauver le destin de leurs univers."
Hypnotic,23/08/2023,Action,94,Robert Rodriguez, SND ,"Ben Affleck,Alice Braga,JD Pardo",,,Anglais,Long-métrage,2023,-,,,,17 Photos,,
Reality,16/08/2023,Biopic,82,Tina Satter, Metropolitan FilmExport ,"Sydney Sweeney,Josh Hamilton,Marchant Davis",,,Anglais,Long-métrage,2023,-,,,,11 Photos,,"Le 3 juin 2017, Reality Winner, vingt-cinq ans, est interrogée par deux agents du FBI à son domicile. Cette conversation d’apparence banale parfois surréaliste, dont chaque dialogue est tiré de l’authentique transcription de l’interrogatoire, brosse le portrait complexe d’une milléniale américaine, vétérane de l’US Air Force, professeure de yoga, qui aime les animaux, les voyages et partager des photos sur les réseaux sociaux. Pourquoi le FBI s’intéresse-t-il à elle ? Qui est vraiment Reality ?"
The Marvels,08/11/2023,"Fantastique,Science fiction",,Nia DaCosta, The Walt Disney Company France ,"Brie Larson,Iman Vellani,Teyonah Parris",,,Anglais,Long-métrage,2023,-,,,,,,"Suite des aventures de Carol Danvers, alias Captain Marvel"
Nouveau départ,27/09/2023,,,Philippe Lefebvre, UGC Distribution / Orange Studio ,"Franck Dubosc,Karin Viard",,,Français,Long-métrage,2023,"7,9 M€",,,,,,"Amoureux de Diane comme au premier jour, Alain traverse la cinquantaine sans crise. Même le départ des enfants, il l’a bien vécu. Diane moins.… Cette période, elle l’entame avec la sensation qu’elle pourrait mourir d’ennui ou d’angoisse. Pour Alain, qui voit pour la première fois son couple vaciller, il est temps de se poser les questions essentielles, et de prendre un risque majeur après 30 ans de vie commune : quitter Diane pour réveiller la flamme et l’envie de se retrouver. Nouveau Départ, c’est l’histoire d’une histoire d’amour à quitte ou double."
Five Nights At Freddy's,08/11/2023,,180,Emma Tammi, Universal Pictures International France ,"Josh Hutcherson,Elizabeth Lail,Kat Conner Sterling",,,Anglais,Long-métrage,2023,-,,,,14 Photos,,"Le film met en scène la prise de service d’un agent de sécurité assez perturbé dans la pizzeria de Freddy Fazbear. Lors de cette première nuit, il se rend compte que les nuits chez Freddy ne sont pas de tout repos et qu’il pourrait bien ne pas revoir le jour."
"Mission Impossible : Dead Reckoning, partie 2",26/06/2024,,,Christopher McQuarrie, Paramount Pictures France ,"Tom Cruise,Simon Pegg,Rebecca Ferguson",Mission: Impossible - Dead Reckoning Part Two,,Anglais,Long-métrage,2024,-,,,,,,Suite des aventures de l'espion Ethan Hunt.
Paradis,30/08/2023,,88,Alexander Abaturov, Jour2fête ,,Paradise,"Suisse,France",Russe,Long-métrage,2022,-,,,,,,"À l’été 2021, une vague de chaleur et une sécheresse exceptionnelle provoquent des incendies géants qui ravagent 19 millions d’hectares dans le nord-est de la Sibérie. Dans cette région, au cœur de la taïga, le village de Shologon se voile d’un épais nuage de fumée. Les cendres noires portées par le vent propagent des nouvelles alarmantes : la forêt est en feu et les flammes approchent. Abandonnés par le gouvernement, livrés à eux-mêmes, les habitants doivent s'unir pour combattre le Dragon."
3 jours max,25/10/2023,Action,90,Tarek Boudali, StudioCanal ,"Tarek Boudali,Philippe Lacheau,Julien Arruti",,,Français,Long-métrage,2023,-,,,,,,
The House,,,99,Kyle Edward Ball, ESC Films ,"Lucas Paul,Dali Rose Tetreault,Ross Paul",Skinamarink,,Anglais,Long-métrage,2022,-,,,,,,Deux enfants se réveillent au milieu de la nuit pour découvrir que leur père a disparu et que toutes les fenêtres et les portes de leur maison ont disparu.
Second tour,25/10/2023,"Drame,Comédie",95,Albert Dupontel, Pathé ,"Cécile de France,Albert Dupontel,Nicolas Marié",,,Français,Long-métrage,2023,-,,,,,,"Journaliste politique en disgrâce placée à la rubrique football, Mlle Pove est sollicitée pour suivre l’entre-deux tours de la campagne présidentielle. Le favori est Pierre-Henry Mercier, héritier d'une puissante famille française et novice en politique. Troublée par ce candidat qu'elle a connu moins lisse, Mlle Pove se lance dans une enquête aussi étonnante que jubilatoire."
Seconde jeunesse,16/08/2023,Romance,97,Gianni Di Gregorio, Le Pacte ,"Gianni Di Gregorio,Stefania Sandrelli,Alfonso Santagata",Astolfo,"Italie,France",Italien,Long-métrage,2022,-,,,,10 Photos,,"Astolfo, professeur à la retraite, doit quitter son appartement Romain, expulsé par la propriétaire. Désargenté, il décide de retourner au village de ses ancêtres, pour habiter le palais familial en ruine, vestige d'un patrimoine que chacun tente d'accaparer. Il se lie d’amitié avec le marginal qui squatte depuis des années la demeure, mais aussi avec un cuisinier retraité et un jeune sans emploi. Mais surtout, il rencontre Stefania, une femme de son âge, timide, douce et généreuse. Encouragé par ses amis, Astolfo fait un pas courageux et apprend avec joie qu’il n’est jamais trop tard pour tomber amoureux."
